"task_name","task_version","task_versionDate","task_form","task_ageCohort","task_language","site_id","subject_id","session_num","session_date","session_start","trial_start","initials","machine_id","response_device","nb1_total_trials","nb1_score","nb1_bias","nb1_corr","nb1_errors","nb1_mean","nb1_median","nb1_stdev","nb1sm_corr","nb1sm_errors","nb1sm_mean","nb1sm_median","nb1sm_stdev","nb1s1_corr","nb1s1_errors","nb1s1_mean","nb1s1_median","nb1s1_stdev","nb1s2_corr","nb1s2_errors","nb1s2_mean","nb1s2_median","nb1s2_stdev","nb1s3_corr","nb1s3_errors","nb1s3_mean","nb1s3_median","nb1s3_stdev","nb1s4_corr","nb1s4_errors","nb1s4_mean","nb1s4_median","nb1s4_stdev","nb1vhL_corr","nb1vhL_errors","nb1vhL_mean","nb1vhL_median","nb1vhL_stdev","nb1vhR_corr","nb1vhR_errors","nb1vhR_mean","nb1vhR_median","nb1vhR_stdev","nb2_total_trials","nb2_score","nb2_bias","nb2_corr","nb2_errors","nb2_mean","nb2_median","nb2_stdev","nb2sm_corr","nb2sm_errors","nb2sm_mean","nb2sm_median","nb2sm_stdev","nb2s1_corr","nb2s1_errors","nb2s1_mean","nb2s1_median","nb2s1_stdev","nb2s2_corr","nb2s2_errors","nb2s2_mean","nb2s2_median","nb2s2_stdev","nb2s3_corr","nb2s3_errors","nb2s3_mean","nb2s3_median","nb2s3_stdev","nb2s4_corr","nb2s4_errors","nb2s4_mean","nb2s4_median","nb2s4_stdev","nb2vhL_corr","nb2vhL_errors","nb2vhL_mean","nb2vhL_median","nb2vhL_stdev","nb2vhR_corr","nb2vhR_errors","nb2vhR_mean","nb2vhR_median","nb2vhR_stdev","nb2int_corr","nb2int_errors","nb2int_mean","nb2int_median","nb2int_stdev","nb2noint_corr","nb2noint_errors","nb2noint_mean","nb2noint_median","nb2noint_stdev"
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",2976,1,"05/21/2019","12:28:27",NA,"jw","IJR-235a","keyboard",30,3.671,-0.145,30,0,0.6593,0.651,0.1484,10,0,0.6133,0.5997,0.1765,5,0,0.743,0.6854,0.1642,5,0,0.6435,0.6351,0.08,5,0,0.7096,0.6822,0.1213,5,0,0.6329,0.6087,0.0843,11,0,0.6913,0.6822,0.1481,11,0,0.5711,0.5477,0.0909,90,1.937,-0.043,76,14,1.7682,1.6805,0.7439,25,5,1.6214,1.522,0.7116,9,6,1.8785,1.7119,0.8243,15,0,1.8839,2.0257,0.604,13,2,1.7382,1.6267,0.6706,14,1,1.8632,1.6606,0.8857,29,5,1.7583,1.7032,0.8187,29,5,1.7088,1.629,0.5672,6,2,1.8621,1.6334,0.8463,70,12,1.7601,1.6805,0.7339
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",2978,1,"05/02/2019","10:08:17",NA,"jw","IJR-235a","keyboard",30,3.156,0.113,29,1,0.5455,0.5164,0.1063,10,0,0.5267,0.5257,0.0966,4,1,0.5962,0.6056,0.0507,5,0,0.4884,0.4633,0.0459,5,0,0.4916,0.472,0.0966,5,0,0.6539,0.696,0.1127,11,0,0.5323,0.508,0.0922,11,0,0.5483,0.5164,0.1115,90,2.849,-0.024,84,6,0.8221,0.7843,0.2169,28,2,0.7411,0.7187,0.1703,13,2,0.9432,0.8951,0.2214,15,0,0.8153,0.8065,0.1831,15,0,0.8784,0.8299,0.2168,13,2,0.8183,0.7346,0.2589,32,2,0.8508,0.7886,0.2305,32,2,0.7828,0.7843,0.2061,7,1,0.8131,0.8105,0.1301,77,5,0.8229,0.778,0.2231
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3902,1,"04/16/2019","18:30:23",NA,"jw","IJR-235a","keyboard",30,1.888,0.153,25,5,0.7478,0.7202,0.1407,9,1,0.7367,0.702,0.1889,3,2,0.7676,0.7688,0.097,4,1,0.6663,0.6701,0.0475,4,1,0.7935,0.7911,0.0944,5,0,0.7843,0.7861,0.1068,8,3,0.7362,0.7224,0.079,11,0,0.7289,0.7269,0.1283,90,0.087,-0.206,49,41,0.9159,0.8413,0.307,13,17,0.8695,0.7558,0.3729,8,7,0.8406,0.7715,0.1877,9,6,0.8741,0.8931,0.1942,11,4,0.9039,0.9368,0.1564,8,7,1.1299,0.9871,0.4276,17,17,0.8766,0.8099,0.2134,18,16,0.8892,0.8241,0.322,6,2,0.9397,0.9267,0.1344,43,39,0.9125,0.8241,0.3237
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3916,1,"06/05/2019","12:54:13",NA,"jw","IJR-235a","keyboard",30,2.277,-0.041,27,3,0.7368,0.7365,0.1659,9,1,0.7166,0.6613,0.098,3,2,0.7769,0.8592,0.124,5,0,0.7111,0.7466,0.0906,5,0,0.9312,1.0166,0.2065,5,0,0.5805,0.5516,0.0821,10,1,0.749,0.6958,0.1877,10,1,0.6983,0.6335,0.1691,90,1.761,-0.28,75,15,0.7747,0.6961,0.2671,22,8,0.6802,0.6922,0.1229,12,3,0.9568,0.8334,0.3981,13,2,0.7153,0.7036,0.104,15,0,0.8422,0.7051,0.3046,13,2,0.7481,0.6359,0.2581,26,8,0.7771,0.7556,0.1859,30,4,0.808,0.659,0.3562,7,1,0.8826,0.8607,0.2687,68,14,0.7636,0.6908,0.2644
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3917,1,"06/17/2019","15:19:13",NA,"jw","IJR-235a","keyboard",30,2.482,0.449,26,4,0.7844,0.7482,0.1767,10,0,0.7219,0.7304,0.1441,4,1,0.8763,0.7441,0.2824,4,1,0.7818,0.8151,0.0991,3,2,0.724,0.6936,0.0872,5,0,0.8743,0.9419,0.141,9,2,0.7911,0.7482,0.1273,10,1,0.7364,0.7304,0.145,90,1.212,-0.006,66,24,1.3819,1.238,0.5761,22,8,0.9806,0.8492,0.4407,10,5,1.7541,1.6597,0.5257,12,3,1.5198,1.429,0.4515,11,4,1.6072,1.2752,0.625,11,4,1.4703,1.3811,0.4598,24,10,1.3477,1.2045,0.4984,29,5,1.416,1.2633,0.6263,0,8,-5,-5,-5,66,16,1.3819,1.238,0.5761
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3918,1,"07/03/2019","16:25:38",NA,"jw","IJR-235a","keyboard",30,1.888,0.153,25,5,0.6142,0.6004,0.1324,9,1,0.6046,0.6004,0.1376,2,3,0.7001,0.7001,0.1546,5,0,0.5758,0.5817,0.1077,4,1,0.6879,0.718,0.0971,5,0,0.5767,0.5562,0.1203,10,1,0.579,0.569,0.1369,11,0,0.6594,0.6869,0.1273,90,2.062,0.37,73,17,1.5646,1.4258,0.6989,28,2,1.2853,1.1801,0.4894,8,7,1.5088,1.4426,0.3823,12,3,1.6989,1.4489,0.7391,11,4,1.8887,1.5507,0.8795,14,1,1.7856,1.5766,0.7771,26,8,1.4365,1.411,0.5462,30,4,1.7263,1.3987,0.8828,5,3,1.4039,1.4982,0.2147,68,14,1.5765,1.411,0.7204
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3919,1,"07/18/2019","18:26:21",NA,"jw","IJR-235a","keyboard",30,1.594,0.3,23,7,0.6406,0.5717,0.2498,9,1,0.4969,0.5619,0.1728,3,2,1.0368,1.1038,0.1713,2,3,0.7426,0.7426,0.0035,4,1,0.7525,0.7077,0.2172,5,0,0.5311,0.485,0.1432,8,3,0.5096,0.5412,0.1129,9,2,0.7166,0.7392,0.2401,90,0.844,-0.093,61,29,1.236,0.9717,0.846,19,11,0.9992,0.8044,0.4956,7,8,0.9472,0.9086,0.2542,11,4,1.667,1.1665,1.274,10,5,1.4669,1.1381,1.1669,14,1,1.198,0.9863,0.4491,25,9,1.1645,0.885,0.8429,20,14,1.2785,1.0196,0.8353,5,3,1.1035,0.8524,0.5588,56,26,1.2478,0.9783,0.866
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3920,1,"07/10/2019","09:38:16",NA,"jw","IJR-235a","keyboard",30,3.156,0.113,29,1,0.4226,0.4046,0.0797,10,0,0.4251,0.4008,0.1001,4,1,0.4795,0.4753,0.0783,5,0,0.3933,0.3652,0.0508,5,0,0.3987,0.384,0.0488,5,0,0.4254,0.4412,0.0544,10,1,0.3992,0.4061,0.0492,11,0,0.4385,0.4046,0.0943,90,0.621,0.019,56,34,0.8571,0.8448,0.2453,19,11,0.8256,0.8285,0.1779,11,4,0.946,0.8849,0.3072,7,8,0.8474,0.8093,0.2378,8,7,0.7964,0.8153,0.1421,11,4,0.8732,0.9222,0.3065,23,11,0.8869,0.8481,0.2043,16,18,0.806,0.7455,0.2851,3,5,0.9263,0.8758,0.2718,53,29,0.8532,0.843,0.2431
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3921,1,"08/01/2019","10:16:13",NA,"jw","IJR-235a","keyboard",30,3.156,0.113,29,1,0.605,0.6232,0.1308,10,0,0.5523,0.5634,0.1621,4,1,0.6117,0.5742,0.1069,5,0,0.6206,0.6232,0.1343,5,0,0.6747,0.7077,0.067,5,0,0.6199,0.5899,0.0636,10,1,0.627,0.6609,0.1223,11,0,0.583,0.5899,0.111,90,1.646,-0.123,73,17,0.9425,0.9232,0.1722,23,7,0.8895,0.8896,0.1941,12,3,1.0581,0.9582,0.1884,14,1,0.9269,0.9195,0.1514,13,2,0.925,0.9194,0.1406,11,4,0.9676,0.9355,0.071,27,7,0.9518,0.9277,0.2044,29,5,0.9245,0.9218,0.1647,7,1,0.9952,0.9428,0.1035,66,16,0.9369,0.9207,0.1771
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",3922,1,"07/05/2019","09:49:29",NA,"rs","IJR-235a","keyboard",30,3.671,-0.145,30,0,0.4165,0.4061,0.0806,10,0,0.3969,0.3867,0.0783,5,0,0.4945,0.481,0.1071,5,0,0.4345,0.4291,0.063,5,0,0.3851,0.4053,0.0313,5,0,0.3913,0.4029,0.0389,11,0,0.4197,0.4272,0.0657,11,0,0.4061,0.4029,0.0632,90,2.372,0.025,80,10,0.4976,0.4347,0.1922,27,3,0.4003,0.3569,0.1096,11,4,0.6085,0.6324,0.165,14,1,0.6084,0.4823,0.3105,14,1,0.5097,0.4954,0.0978,14,1,0.475,0.447,0.1406,34,0,0.5084,0.4625,0.1581,28,6,0.5304,0.4594,0.2544,7,1,0.5277,0.5191,0.1395,73,9,0.4947,0.4316,0.1963
